country,Population (in millions),GDP ($ in billions),CO2 (in megatons)
China,1417.06944,18151.620214784,10353.877
United States,332.140032,18140.645818368,5376.657
India,1369.003264,8835.75750656,2600.447
Russia,145.652288,3613.410459648,1700.453
Japan,126.255872,4867.010592768,1143.412
Germany,82.896696,3885.961314304,754.408
Iran,85.61756,1398.995943424,700.938
South Korea,51.6769,1958.392102912,670.169
Saudi Arabia,35.018132,1677.338607616,626.191
Indonesia,267.066848,3075.456106496,603.657
Canada,37.03526,1669.401542656,584.369
Brazil,210.166592,2965.401501696,477.102
Mexico,124.013864,2006.599729152,475.269
South Africa,57.339632,673.272168448,435.237
Turkey,82.809304,1655.984226304,422.569
Australia,24.979228,1238.55962112,416.284
United Kingdom,66.432996,2540.210225152,379.73
Italy,59.877432,2077.209133056,349.005
Poland,38.521464,1053.479337984,337.048
